Bin | Expected (Py) | FFT Core (Raw) | SPI Rx (Final) | Status
356 | 00000000 | 00000000 | 00000000 |  OK
357 | 00000000 | 00000000 | 0190fdd7 | ERR
358 | 018f0121 | 01900121 | 00000000 | ERR
359 | 00000000 | 00000000 | 00000000 |  OK
360 | 00000000 | 00000000 | 00000000 |  OK
361 | 00000000 | 00000000 | 0191fdf1 | ERR
362 | 018f0130 | 01910131 | 00000000 | ERR
363 | 00000000 | 00000000 | 00000000 |  OK
364 | 00000000 | 00000000 | 00000000 |  OK
365 | 00000000 | 00000000 | 018ffe0f | ERR
366 | 01900140 | 018f013f | 00000000 | ERR
367 | 00000000 | 00000000 | 00000000 |  OK
368 | 00000000 | 00000000 | 00000000 |  OK
369 | 00000000 | 00000000 | 018efe23 | ERR
370 | 01900150 | 0192014f | 00000000 | ERR
371 | 00000000 | 00000000 | 00000000 |  OK
372 | 00000000 | 00000000 | 00000000 |  OK
373 | 00000000 | 00000000 | 0191fe3d | ERR
374 | 018f0161 | 018f0163 | 00000000 | ERR
375 | 00000000 | 00000000 | 00000000 |  OK
376 | 00000000 | 00000000 | 00000000 |  OK
377 | 00000000 | 00000000 | 018ffe51 | ERR
378 | 018f0173 | 01910173 | 00000000 | ERR
379 | 00000000 | 00000000 | 00000000 |  OK
380 | 00000000 | 00000000 | 00000000 |  OK
381 | 00000000 | 00000000 | 0190fe66 | ERR
382 | 018f0186 | 01900186 | 00000000 | ERR
383 | 00000000 | 00000000 | 00000000 |  OK
384 | 00000000 | 00000000 | 00000000 |  OK
385 | 00000000 | 00000000 | 0190fe7a | ERR
386 | 01900199 | 0190019a | 00000000 | ERR
387 | 00000000 | 00000000 | 00000000 |  OK
388 | 00000000 | 00000000 | 00000000 |  OK
389 | 00000000 | 00000000 | 0191fe8d | ERR
390 | 018f01ae | 018f01af | 00000000 | ERR
391 | 00000000 | 00000000 | 00000000 |  OK
392 | 00000000 | 00000000 | 00000000 |  OK
393 | 00000000 | 00000000 | 018ffe9d | ERR
394 | 018f01c4 | 019101c3 | 00000000 | ERR
395 | 00000000 | 00000000 | 00000000 |  OK
396 | 00000000 | 00000000 | 00000000 |  OK
397 | 00000000 | 00000000 | 0192feb1 | ERR
398 | 019001db | 018e01dd | 00000000 | ERR
399 | 00000000 | 00000000 | 00000000 |  OK
400 | 00000000 | 00000000 | 00000000 |  OK
401 | 00000000 | 00000000 | 018ffec1 | ERR
402 | 019001f3 | 018f01f1 | 00000000 | ERR
403 | 00000000 | 00000000 | 00000000 |  OK
404 | 00000000 | 00000000 | 00000000 |  OK
405 | 00000000 | 00000000 | 0191fecf | ERR
406 | 0190020d | 0191020f | 00000000 | ERR
407 | 00000000 | 00000000 | 00000000 |  OK
408 | 00000000 | 00000000 | 00000000 |  OK
409 | 00000000 | 00000000 | 0190fedf | ERR
410 | 01900229 | 01900229 | 00000000 | ERR
411 | 00000000 | 00000000 | 00000000 |  OK
412 | 00000000 | 00000000 | 00000000 |  OK
413 | 00000000 | 00000000 | 0191feee | ERR
414 | 01900247 | 018f0248 | 00000000 | ERR
415 | 00000000 | 00000000 | 00000000 |  OK
416 | 00000000 | 00000000 | 00000000 |  OK
417 | 00000000 | 00000000 | 0190fefb | ERR
418 | 01900266 | 01900267 | 00000000 | ERR
419 | 00000000 | 00000000 | 00000000 |  OK
420 | 00000000 | 00000000 | 00000000 |  OK
421 | 00000000 | 00000000 | 0191ff09 | ERR
422 | 01900289 | 01910289 | 00000000 | ERR
423 | 00000000 | 00000000 | 00000000 |  OK
424 | 00000000 | 00000000 | 00000000 |  OK
425 | 00000000 | 00000000 | 0192ff15 | ERR
426 | 018f02ae | 019202b1 | 00000000 | ERR
427 | 00000000 | 00000000 | 00000000 |  OK
428 | 00000000 | 00000000 | 00000000 |  OK
429 | 00000000 | 00000000 | 0191ff25 | ERR
430 | 018f02d6 | 018d02d7 | 00000000 | ERR
431 | 00000000 | 00000000 | 00000000 |  OK
432 | 00000000 | 00000000 | 00000000 |  OK
433 | 00000000 | 00000000 | 0190ff2f | ERR
434 | 018f0302 | 01920303 | 00000000 | ERR
435 | 00000000 | 00000000 | 00000000 |  OK
436 | 00000000 | 00000000 | 00000000 |  OK
437 | 00000000 | 00000000 | 0192ff3e | ERR
438 | 01900333 | 018e0336 | 00000000 | ERR
439 | 00000000 | 00000000 | 00000000 |  OK
440 | 00000000 | 00000000 | 00000000 |  OK
441 | 00000000 | 00000000 | 0190ff4a | ERR
442 | 01900369 | 018e036a | 00000000 | ERR
443 | 00000000 | 00000000 | 00000000 |  OK
444 | 00000000 | 00000000 | 00000000 |  OK
445 | 00000000 | 00000000 | 0190ff55 | ERR
446 | 018f03a5 | 018e03a5 | 00000000 | ERR
447 | 00000000 | 00000000 | 00000000 |  OK
448 | 00000000 | 00000000 | 00000000 |  OK
449 | 00000000 | 00000000 | 0190ff60 | ERR
450 | 019003e8 | 019203e6 | 00000000 | ERR
451 | 00000000 | 00000000 | 00000000 |  OK
452 | 00000000 | 00000000 | 00000000 |  OK
453 | 00000000 | 00000000 | 0190ff6b | ERR
454 | 01900434 | 01920435 | 00000000 | ERR
455 | 00000000 | 00000000 | 00000000 |  OK
456 | 00000000 | 00000000 | 00000000 |  OK
457 | 00000000 | 00000000 | 0190ff75 | ERR
458 | 0190048a | 0194048b | 00000000 | ERR
459 | 00000000 | 00000000 | 00000000 |  OK
460 | 00000000 | 00000000 | 00000000 |  OK
461 | 00000000 | 00000000 | 0190ff81 | ERR
462 | 018f04ee | 018a04ef | 00000000 | ERR
463 | 00000000 | 00000000 | 00000000 |  OK
464 | 00000000 | 00000000 | 00000000 |  OK
465 | 00000000 | 00000000 | 018fff8b | ERR
466 | 018f0563 | 01930561 | 00000000 | ERR
467 | 00000000 | 00000000 | 00000000 |  OK
468 | 00000000 | 00000000 | 00000000 |  OK
469 | 00000000 | 00000000 | 0191ff97 | ERR
470 | 019005ed | 018f05f3 | 00000000 | ERR
471 | 00000000 | 00000000 | 00000000 |  OK
472 | 00000000 | 00000000 | 00000000 |  OK
473 | 00000000 | 00000000 | 0190ffa2 | ERR
474 | 01900694 | 018e0694 | 00000000 | ERR
475 | 00000000 | 00000000 | 00000000 |  OK
476 | 00000000 | 00000000 | 00000000 |  OK
477 | 00000000 | 00000000 | 0190ffac | ERR
478 | 01900761 | 01900762 | 00000000 | ERR
479 | 00000000 | 00000000 | 00000000 |  OK
480 | 00000000 | 00000000 | 00000000 |  OK
481 | 00000000 | 00000000 | 0190ffb6 | ERR
482 | 01900864 | 01900864 | 00000000 | ERR
483 | 00000000 | 00000000 | 00000000 |  OK
484 | 00000000 | 00000000 | 00000000 |  OK
485 | 00000000 | 00000000 | 0190ffc0 | ERR
486 | 018f09b5 | 019009b4 | 00000000 | ERR
487 | 00000000 | 00000000 | 00000000 |  OK
488 | 00000000 | 00000000 | 00000000 |  OK
489 | 00000000 | 00000000 | 0191ffca | ERR
490 | 018f0b81 | 01910b88 | 00000000 | ERR
491 | 00000000 | 00000000 | 00000000 |  OK
492 | 00000000 | 00000000 | 00000000 |  OK
493 | 00000000 | 00000000 | 018fffd4 | ERR
494 | 018f0e16 | 018b0e0e | 00000000 | ERR
495 | 00000000 | 00000000 | 00000000 |  OK
496 | 00000000 | 00000000 | 00000000 |  OK
497 | 00000000 | 00000000 | 0190ffdd | ERR
498 | 01901224 | 019c1221 | 00000000 | ERR
499 | 00000000 | 00000000 | 00000000 |  OK
500 | 00000000 | 00000000 | 00000000 |  OK
501 | 00000000 | 00000000 | 0190ffe9 | ERR
502 | 018f196e | 01841973 | 00000000 | ERR
503 | 00000000 | 00000000 | 00000000 |  OK
504 | 00000000 | 00000000 | 00000000 |  OK
505 | 00000000 | 00000000 | 0191fff2 | ERR
506 | 018f2a6c | 018f2a7e | 00000000 | ERR
507 | 00000000 | 00000000 | 00000000 |  OK
508 | 00000000 | 00000000 | 00000000 |  OK
509 | 00000000 | 00000000 | 0190fffb | ERR
510 | 018f7f51 | 01907f4d | 00000000 | ERR
511 | 00000000 | 00000000 | 00000000 |  OK
